STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-01,0.0,",,E",22.0,",,E",13.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-02,0.0,",,E",22.0,",,E",12.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-03,0.0,",,E",20.0,",,E",11.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-04,0.0,",,E",23.0,",,E",13.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-05,,,22.6,,16.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-06,0.0,",,E",25.0,",,E",13.4,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-07,27.3,",,E",25.0,",,E",15.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-08,0.0,",,E",19.0,",,E",11.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-09,0.0,",,E",21.0,",,E",12.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-10,0.0,",,E",23.0,",,E",14.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-11,0.0,",,E",26.0,",,E",15.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-12,,,23.6,,19.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-13,0.0,",,E",20.0,",,E",14.6,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-14,0.0,",,E",21.0,",,E",12.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-15,0.0,",,E",25.0,",,E",14.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-16,0.0,",,E",26.0,",,E",15.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-06-17,0.0,",,E",26.0,",,E",18.0,",,E"
